,Gender,Age,Profession,Region,Work_Experience(yrs),Models_Used,Models1,Models2,Models3,Models4,Models5,Models6,Mode_of_Access,Mode 1,Mode 2,Mode 3,Mode 4,Tasks,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
97,Male,26 – 35,Nurse,Greater Accra,3 – 5 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation",Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation,,,
98,Female,36 – 45,Pharmacist,Greater Accra,More than 10 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,Online Platforms or websites,Online Platforms or websites,,,,None ,None ,,,,,,
99,Female,36 – 45,Pharmacist,Ashanti,More than 10 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,Online Platforms or websites,Online Platforms or websites,,,,None ,None ,,,,,,
100,Female,26 – 35,Physician Assistant,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
101,Male,26 – 35,Physician Assistant,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
102,Male,46 – 55,Pharmacist,Upper East,More than 10 years,"ChatGPT, Microsoft Copilot, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Claude AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation,,
103,Male,46 – 55,Pharmacist,Brong Ahafo,More than 10 years,"ChatGPT, Microsoft Copilot, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Claude AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation,,
104,Male,46 – 55,Pharmacist,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,In other fields to generate text to enhance understanding but not in human life saving situations ,In other fields to generate text to enhance understanding but not in human life saving situations ,,,,,,
105,Female,46 – 55,Pharmacist,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,In other fields to generate text to enhance understanding but not in human life saving situations ,In other fields to generate text to enhance understanding but not in human life saving situations ,,,,,,
106,Male,56+,Pharmacist,Ashanti,More than 10 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
107,Male,56+,Pharmacist,Central,More than 10 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
108,Female,18 – 25,Pharmacist,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot",ChatGPT, Microsoft Copilot,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
109,Female,18 – 25,Pharmacist,Central,Less than 3 years,"ChatGPT, Microsoft Copilot",ChatGPT, Microsoft Copilot,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
110,Female,26 – 35,Pharmacist,Greater Accra,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,My phone,My phone,,,,Not used ,Not used ,,,,,,
111,Male,26 – 35,Pharmacist,Greater Accra,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,My phone,My phone,,,,Not used ,Not used ,,,,,,
112,Female,18 – 25,Psychologist,Greater Accra,Less than 3 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis, Administrative writing, Language translation",Medical information research, Diagnosis, Administrative writing, Language translation,,,
113,Female,18 – 25,Psychologist,Brong Ahafo,Less than 3 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis, Administrative writing, Language translation",Medical information research, Diagnosis, Administrative writing, Language translation,,,
114,Female,26 – 35,Nurse,Greater Accra,Less than 3 years,,,,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Clinical documentation of patient information, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Prescription and dosage writing, Administrative writing,,,,
115,Female,26 – 35,Nurse,Central,Less than 3 years,,,,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Clinical documentation of patient information, Prescription and dosage writing, Administrative writing",Clinical documentation of patient information, Prescription and dosage writing, Administrative writing,,,,
116,Male,36 – 45,Medical Doctor,Upper West,More than 10 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
117,Male,36 – 45,Medical Doctor,Western,More than 10 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
118,Male,26 – 35,Health Information Management Officer,Central,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
119,Male,26 – 35,Health Information Management Officer,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
120,Female,26 – 35,Medical Laboratory Scientist,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software",Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software,,"Clinical documentation of patient information, Medical information research, Administrative writing",Clinical documentation of patient information, Medical information research, Administrative writing,,,,
121,Female,26 – 35,Medical Laboratory Scientist,Oti,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software",Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software,,"Clinical documentation of patient information, Medical information research, Administrative writing",Clinical documentation of patient information, Medical information research, Administrative writing,,,,
122,Male,26 – 35,Dentist,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
123,Male,26 – 35,Dentist,North East,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
124,Female,26 – 35,Nurse,Northern,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
125,Female,26 – 35,Nurse,Brong Ahafo,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
126,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
127,Male,26 – 35,Pharmacist,Ashanti,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
128,Male,26 – 35,Physician Assistant,Volta,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,I don’t use AI in my line of work ,I don’t use AI in my line of work ,,,,Medical information research,Medical information research,,,,,,
129,Male,26 – 35,Physician Assistant,Ashanti,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,I don’t use AI in my line of work ,I don’t use AI in my line of work ,,,,Medical information research,Medical information research,,,,,,
130,Female,56+,Pharmacist,Ashanti,More than 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
131,Female,56+,Pharmacist,Central,More than 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,Administrative writing,Administrative writing,,,,,,
132,Female,26 – 35,Pharmacist,Ashanti,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
133,Female,26 – 35,Pharmacist,Central,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
134,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Mobile apps,Mobile apps,,,,Language translation,Language translation,,,,,,
135,Female,26 – 35,Pharmacist,Ashanti,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Mobile apps,Mobile apps,,,,Language translation,Language translation,,,,,,
136,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI,,Online Platforms or websites,Online Platforms or websites,,,,"Diagnosis, Therapy decision support, Language translation",Diagnosis, Therapy decision support, Language translation,,,,
137,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI,,Online Platforms or websites,Online Platforms or websites,,,,"Diagnosis, Therapy decision support, Language translation",Diagnosis, Therapy decision support, Language translation,,,,
138,Male,26 – 35,Pharmacist,Upper West,6 – 10 years,,,,,,,,Mobile apps,Mobile apps,,,,Medical information research,Medical information research,,,,,,
139,Male,26 – 35,Pharmacist,Ashanti,6 – 10 years,,,,,,,,Mobile apps,Mobile apps,,,,Medical information research,Medical information research,,,,,,
140,Male,36 – 45,Pharmacist,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Gemini AI",ChatGPT, Microsoft Copilot, Gemini AI,,,,Mobile apps,Mobile apps,,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
141,Male,36 – 45,Pharmacist,Eastern,6 – 10 years,"ChatGPT, Microsoft Copilot, Gemini AI",ChatGPT, Microsoft Copilot, Gemini AI,,,,Mobile apps,Mobile apps,,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
142,Male,26 – 35,Pharmacist,Greater Accra,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Clinical documentation of patient information, Medical information research, Administrative writing",Clinical documentation of patient information, Medical information research, Administrative writing,,,,
143,Male,26 – 35,Pharmacist,Volta,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Clinical documentation of patient information, Medical information research, Administrative writing",Clinical documentation of patient information, Medical information research, Administrative writing,,,,
144,Female,26 – 35,Pharmacist,Greater Accra,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
145,Female,26 – 35,Pharmacist,Ashanti,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
146,Male,18 – 25,Dentist,North East,More than 10 years,ChatGPT,ChatGPT,,,,,,LLM-integrated Electronic record software,LLM-integrated Electronic record software,,,,"Prescription and dosage writing, Administrative writing",Prescription and dosage writing, Administrative writing,,,,,
147,Male,18 – 25,Dentist,Western,More than 10 years,ChatGPT,ChatGPT,,,,,,LLM-integrated Electronic record software,LLM-integrated Electronic record software,,,,"Prescription and dosage writing, Administrative writing",Prescription and dosage writing, Administrative writing,,,,,
148,Male,26 – 35,Pharmacist,Greater Accra,More than 10 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Administrative writing,Administrative writing,,,,,,
149,Female,26 – 35,Pharmacist,Greater Accra,More than 10 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Administrative writing,Administrative writing,,,,,,
150,Female,36 – 45,Medicine Counter Assistant,Central,6 – 10 years,Meta AI,Meta AI,,,,,,Mobile apps,Mobile apps,,,,Prescription and dosage writing,Prescription and dosage writing,,,,,,
151,Female,36 – 45,Medicine Counter Assistant,Volta,6 – 10 years,Meta AI,Meta AI,,,,,,Mobile apps,Mobile apps,,,,Prescription and dosage writing,Prescription and dosage writing,,,,,,
152,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Haven’t used it yet ,Haven’t used it yet ,,,,,,
153,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Haven’t used it yet ,Haven’t used it yet ,,,,,,
154,Male,36 – 45,Medical Doctor,Greater Accra,3 – 5 years,Meta AI,Meta AI,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Diagnosis,Diagnosis,,,,,,
155,Male,36 – 45,Medical Doctor,Central,3 – 5 years,Meta AI,Meta AI,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Diagnosis,Diagnosis,,,,,,
156,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
157,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
158,Male,26 – 35,Pharmacist,Western North,Less than 3 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation
159,Male,26 – 35,Pharmacist,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Claude AI, Gemini AI,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services",Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software, Subscription-based services,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation
160,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Administrative writing,Administrative writing,,,,,,
161,Female,26 – 35,Pharmacist,Western,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Administrative writing,Administrative writing,,,,,,
162,Female,26 – 35,Pharmacist,Greater Accra,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
163,Female,26 – 35,Pharmacist,Brong Ahafo,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
164,Female,36 – 45,Nurse,Greater Accra,More than 10 years,Meta AI,Meta AI,,,,,,"Mobile apps, LLM-integrated Electronic record software",Mobile apps, LLM-integrated Electronic record software,,,Medical information research,Medical information research,,,,,,
165,Female,36 – 45,Nurse,Brong Ahafo,More than 10 years,Meta AI,Meta AI,,,,,,"Mobile apps, LLM-integrated Electronic record software",Mobile apps, LLM-integrated Electronic record software,,,Medical information research,Medical information research,,,,,,
166,Male,18 – 25,Pharmacist,Central,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Diagnosis, Prescription and dosage writing, Administrative writing",Diagnosis, Prescription and dosage writing, Administrative writing,,,,
167,Male,18 – 25,Pharmacist,Northern,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Diagnosis, Prescription and dosage writing, Administrative writing",Diagnosis, Prescription and dosage writing, Administrative writing,,,,
168,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,Language translation,Language translation,,,,,,
169,Male,26 – 35,Pharmacist,Volta,3 – 5 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,Language translation,Language translation,,,,,,
170,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
171,Male,26 – 35,Pharmacist,Ashanti,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Diagnosis",Medical information research, Diagnosis,,,,,
172,Female,26 – 35,Nutritionist,Western,Less than 3 years,,,,,,,,Subscription-based services,Subscription-based services,,,,"Clinical documentation of patient information, Medical information research, Therapy decision support",Clinical documentation of patient information, Medical information research, Therapy decision support,,,,
173,Female,26 – 35,Nutritionist,Upper West,Less than 3 years,,,,,,,,Subscription-based services,Subscription-based services,,,,"Clinical documentation of patient information, Medical information research, Therapy decision support",Clinical documentation of patient information, Medical information research, Therapy decision support,,,,
174,Female,18 – 25,Psychologist,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, ",ChatGPT, Microsoft Copilot, Meta AI, ,,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,Clinical documentation of patient information,Clinical documentation of patient information,,,,,,
175,Female,18 – 25,Psychologist,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, ",ChatGPT, Microsoft Copilot, Meta AI, ,,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,Clinical documentation of patient information,Clinical documentation of patient information,,,,,,
176,Female,26 – 35,Nurse,Greater Accra,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
177,Female,26 – 35,Nurse,Central,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Administrative writing,Administrative writing,,,,,,
178,Male,26 – 35,Health Information Management Officer,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
179,Female,26 – 35,Health Information Management Officer,Greater Accra,6 – 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,"Online Platforms or websites, Mobile apps, Subscription-based services",Online Platforms or websites, Mobile apps, Subscription-based services,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
180,Male,26 – 35,Nurse,Greater Accra,3 – 5 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,Non of the above ,Non of the above ,,,,Administrative writing,Administrative writing,,,,,,
181,Female,26 – 35,Nurse,Greater Accra,3 – 5 years,"ChatGPT, Google’s BERT, Meta AI",ChatGPT, Google’s BERT, Meta AI,,,,Non of the above ,Non of the above ,,,,Administrative writing,Administrative writing,,,,,,
182,Female,26 – 35,Midwife,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Mobile apps,Mobile apps,,,,"Medical information research, Language translation",Medical information research, Language translation,,,,,
183,Female,26 – 35,Midwife,Northern,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Mobile apps,Mobile apps,,,,"Medical information research, Language translation",Medical information research, Language translation,,,,,
184,Male,26 – 35,Health Information Management Officer,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,LLM-integrated Electronic record software,LLM-integrated Electronic record software,,,,Diagnosis,Diagnosis,,,,,,
185,Male,26 – 35,Health Information Management Officer,Western,3 – 5 years,ChatGPT,ChatGPT,,,,,,LLM-integrated Electronic record software,LLM-integrated Electronic record software,,,,Diagnosis,Diagnosis,,,,,,
186,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
187,Male,26 – 35,Pharmacist,Brong Ahafo,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing, Language translation",Medical information research, Administrative writing, Language translation,,,,
188,Female,26 – 35,Nurse,Greater Accra,3 – 5 years,"Microsoft Copilot, Meta AI",Microsoft Copilot, Meta AI,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Diagnosis, Administrative writing, Language translation",Medical information research, Diagnosis, Administrative writing, Language translation,,,
189,Male,26 – 35,Nurse,Greater Accra,3 – 5 years,"Microsoft Copilot, Meta AI",Microsoft Copilot, Meta AI,,,,,Mobile apps,Mobile apps,,,,"Medical information research, Diagnosis, Administrative writing, Language translation",Medical information research, Diagnosis, Administrative writing, Language translation,,,
190,Male,26 – 35,Medical Doctor,Greater Accra,6 – 10 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
191,Male,26 – 35,Medical Doctor,Ashanti,6 – 10 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
192,Male,36 – 45,Medical Doctor,Greater Accra,More than 10 years,Gemini AI,Gemini AI,,,,,,I don't ,I don't ,,,,I don't ,I don't ,,,,,,
193,Female,36 – 45,Medical Doctor,Greater Accra,More than 10 years,Gemini AI,Gemini AI,,,,,,I don't ,I don't ,,,,I don't ,I don't ,,,,,,
194,Male,36 – 45,Pharmacy Technician,Central,More than 10 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Therapy decision support, Language translation,,
195,Male,36 – 45,Pharmacy Technician,Greater Accra,More than 10 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Therapy decision support, Language translation,,
196,Male,36 – 45,Pharmacy Technician,Central,6 – 10 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation
197,Male,36 – 45,Pharmacy Technician,Volta,6 – 10 years,ChatGPT,ChatGPT,,,,,,Mobile apps,Mobile apps,,,,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation",Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing, Therapy decision support, Language translation
198,Male,26 – 35,Dietitian,Western,3 – 5 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,Mobile apps,Mobile apps,,,,I don't use LLMs,I don't use LLMs,,,,,,
