,Gender,Age,Profession,Region,Years_of_Experience,Prior_Awareness,Known_Models,Understanding_Rating,Understanding_1,Understanding_2,Understanding_3,Understanding_4,Understanding_5,Access_At_Work,Access_Route,Considered_Use,Use,Specific_Uses,Track_Important_Details,Find_Quick_Answers,Brainstorm_&_Diagnose,Generate_Prescriptions,Summarise_Research_Articles,Create_Educational_Materials,Treatment_Recommendations,Find_Quick_Answers_2,Brainstorm_&_Diagnose_2,Generate_Prescriptions_2,Summarise_Research_Articles_2,Create_Educational_Materials_2,Treatment_Recommendations_2,Daily_LLMs_Usage(mins),Daily_CCLs_Usage(mins),23. LLMs help me achieve my healthcare delivery goals. ,24. LLMs reduce my workload and save me time.,25. LLMs help me make informed and timely decisions.,26. LLMs keep me updated on healthcare related information.,27. LLMs are easily accessible and user-friendly. ,28. LLMs are trusted tools that uphold patient privacy and confidentiality. ,29. I am willing to take decisions based on the recommendations provided by LLMs.,30. The benefits of using LLMs outweigh any potential risks.,31. I am satisfied with LLMs.  ,32. I will recommend the use of LLMs by my colleagues in healthcare delivery. ,Preference,LLMs_Preferred_Aspects,CCLs_Preferred_Aspects,Areas_Of_Impact,Suggested_Improvement
95,Female,18 – 25,Pharmacist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,5,5,2,1,Yes,Online Platforms or websites,No,Yes,"Administrative writing, Therapy decision support, Language translation",Occasionally,Occasionally,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,Never,Never,Never,Rarely,40,120,4,5,4,4,5,4,3,2,5,5,Neutral,,Might work just like Google ,"Not sure, it's limited when it comes to health ",A healthcare based llms
96,Female,26 – 35,Nurse,Greater Accra,3 – 5 years,Yes,"ChatGPT, Google’s BERT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,1,1,1,3,1,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation",Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,30,20,5,5,5,5,5,5,5,5,5,5,Yes,ChartGp,,All aspects especially with drug administration and patients documentation ,Suggest we implement it in addition to our Etracker system 
97,Male,26 – 35,Nurse,Greater Accra,3 – 5 years,Yes,"ChatGPT, Google’s BERT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,1,1,1,3,1,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation",Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,30,20,5,5,5,5,5,5,5,5,5,5,Yes,ChartGp,,All aspects especially with drug administration and patients documentation ,Suggest we implement it in addition to our Etracker system 
98,Female,36 – 45,Pharmacist,Greater Accra,More than 10 years,Yes,"ChatGPT, Google’s BERT, Meta AI",2 -  I know a bit about LLMs but not a lot,3,4,4,1,1,Yes,Online Platforms or websites,No,No,None ,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Frequently,Occasionally,Frequently,Frequently,0,30,1,1,1,4,3,1,1,1,3,1,No,,None ,Na,Na
99,Female,36 – 45,Pharmacist,Ashanti,More than 10 years,Yes,"ChatGPT, Google’s BERT, Meta AI",2 -  I know a bit about LLMs but not a lot,3,4,4,1,1,Yes,Online Platforms or websites,No,No,None ,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Frequently,Occasionally,Frequently,Frequently,0,30,1,1,1,4,3,1,1,1,3,1,No,,None ,Na,Na
100,Female,26 – 35,Physician Assistant,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,5,4,4,1,3,No,Mobile apps,No,No,Administrative writing,Never,Never,Never,Never,Rarely,Never,Never,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,0,5,1,1,1,1,4,2,1,2,3,3,No,,,Administrative purposes and patient’s reports,
101,Male,26 – 35,Physician Assistant,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,5,4,4,1,3,No,Mobile apps,No,No,Administrative writing,Never,Never,Never,Never,Rarely,Never,Never,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,0,5,1,1,1,1,4,2,1,2,3,3,No,,,Administrative purposes and patient’s reports,
102,Male,46 – 55,Pharmacist,Upper East,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Claude AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,5,4,3,1,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Never,Frequently,Occasionally,Rarely,Occasionally,Always,Never,Never,Never,Never,Never,Never,Never,180,0,4,5,4,4,4,1,4,4,4,4,Yes,Ease of accessing information,,Diagnosis and pharmacotherapies/immunotherapies,
103,Male,46 – 55,Pharmacist,Brong Ahafo,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Claude AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,5,4,3,1,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",Never,Frequently,Occasionally,Rarely,Occasionally,Always,Never,Never,Never,Never,Never,Never,Never,180,0,4,5,4,4,4,1,4,4,4,4,Yes,Ease of accessing information,,Diagnosis and pharmacotherapies/immunotherapies,
104,Male,46 – 55,Pharmacist,Greater Accra,6 – 10 years,Maybe,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc",2 -  I know a bit about LLMs but not a lot,3,5,5,3,3,Yes,"Online Platforms or websites, Mobile apps",No,No,In other fields to generate text to enhance understanding but not in human life saving situations ,Never,Never,Never,Never,Never,Occasionally,Never,Always,Always,Always,Always,Always,Always,60,180,3,2,3,3,5,1,1,2,3,3,No,,LLMs not sourced from expert knowledge. ,No,Until expert knowledge I s cited in generated texts.
105,Female,46 – 55,Pharmacist,Greater Accra,6 – 10 years,Maybe,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc",2 -  I know a bit about LLMs but not a lot,3,5,5,3,3,Yes,"Online Platforms or websites, Mobile apps",No,No,In other fields to generate text to enhance understanding but not in human life saving situations ,Never,Never,Never,Never,Never,Occasionally,Never,Always,Always,Always,Always,Always,Always,60,180,3,2,3,3,5,1,1,2,3,3,No,,LLMs not sourced from expert knowledge. ,No,Until expert knowledge I s cited in generated texts.
106,Male,56+,Pharmacist,Ashanti,More than 10 years,Maybe,ChatGPT,1  - I know very little to nothing about LLMs,4,4,3,2,4,No,Mobile apps,No,No,Administrative writing,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,"Never, Always",Rarely,Always,Always,Frequently,Frequently,Frequently,Always,30,30,2,2,3,4,2,2,3,3,3,2,Neutral,,,"1. Writing of prescription
2. Dispensing of drugs. 
3. Drug information. ","Computers should be cheaper.
Healthcare students and staff should undergo studies. "
107,Male,56+,Pharmacist,Central,More than 10 years,Maybe,ChatGPT,1  - I know very little to nothing about LLMs,4,4,3,2,4,No,Mobile apps,No,No,Administrative writing,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,"Never, Always",Rarely,Always,Always,Frequently,Frequently,Frequently,Always,30,30,2,2,3,4,2,2,3,3,3,2,Neutral,,,"1. Writing of prescription
2. Dispensing of drugs. 
3. Drug information. ","Computers should be cheaper.
Healthcare students and staff should undergo studies. "
108,Female,18 – 25,Pharmacist,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot",2 -  I know a bit about LLMs but not a lot,3,5,4,2,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,Never,Rarely,Never,Never,Never,Rarely,Rarely,"Never, Frequently","Rarely, Frequently","Never, Frequently","Never, Always","Rarely, Frequently","Never, Frequently",60,180,1,1,2,3,5,1,1,2,3,3,No,,More precise,No,Reduce the work time 
109,Female,18 – 25,Pharmacist,Central,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot",2 -  I know a bit about LLMs but not a lot,3,5,4,2,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,Never,Rarely,Never,Never,Never,Rarely,Rarely,"Never, Frequently","Rarely, Frequently","Never, Frequently","Never, Always","Rarely, Frequently","Never, Frequently",60,180,1,1,2,3,5,1,1,2,3,3,No,,More precise,No,Reduce the work time 
110,Female,26 – 35,Pharmacist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,2,4,2,4,No,My phone,No,No,Not used ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,Occasionally,Frequently,Frequently,Occasionally,Frequently,20,60,4,4,4,4,4,4,4,3,3,4,Yes,"Llms give direct straightforward information,  in ccls one now has to look for the information and relate it to the condition or treatment ",,Medication Therapy management ,Make it accessible to all 
111,Male,26 – 35,Pharmacist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,2,4,2,4,No,My phone,No,No,Not used ,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,Occasionally,Frequently,Frequently,Occasionally,Frequently,20,60,4,4,4,4,4,4,4,3,3,4,Yes,"Llms give direct straightforward information,  in ccls one now has to look for the information and relate it to the condition or treatment ",,Medication Therapy management ,Make it accessible to all 
112,Female,18 – 25,Psychologist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,5,3,2,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Diagnosis, Administrative writing, Language translation",Frequently,Always,Frequently,Occasionally,Always,Occasionally,Occasionally,Frequently,Frequently,Frequently,Always,Frequently,Always,180,360,4,5,5,4,5,4,4,3,4,4,Neutral,"Well it’s neutral for me because I find it wise to blend both the CCLs with the LLMs. By so doing, you are very clear before taking a decision or putting an action and you’d avoid risks that may cause side effects.",,,
113,Female,18 – 25,Psychologist,Brong Ahafo,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,5,3,2,5,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Diagnosis, Administrative writing, Language translation",Frequently,Always,Frequently,Occasionally,Always,Occasionally,Occasionally,Frequently,Frequently,Frequently,Always,Frequently,Always,180,360,4,5,5,4,5,4,4,3,4,4,Neutral,"Well it’s neutral for me because I find it wise to blend both the CCLs with the LLMs. By so doing, you are very clear before taking a decision or putting an action and you’d avoid risks that may cause side effects.",,,
114,Female,26 – 35,Nurse,Greater Accra,Less than 3 years,No,,1  - I know very little to nothing about LLMs,5,4,5,1,2,Yes,Online Platforms or websites,Yes,Yes,"Clinical documentation of patient information, Prescription and dosage writing, Administrative writing",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60,0,3,2,3,1,4,5,1,3,3,4,Neutral,None ,,OPD ,More training 
115,Female,26 – 35,Nurse,Central,Less than 3 years,No,,1  - I know very little to nothing about LLMs,5,4,5,1,2,Yes,Online Platforms or websites,Yes,Yes,"Clinical documentation of patient information, Prescription and dosage writing, Administrative writing",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60,0,3,2,3,1,4,5,1,3,3,4,Neutral,None ,,OPD ,More training 
116,Male,36 – 45,Medical Doctor,Upper West,More than 10 years,Yes,"ChatGPT, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,4,4,1,4,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Administrative writing",Rarely,Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,10,20,4,4,4,4,4,3,3,4,4,4,Neutral,,,Radiology ,
117,Male,36 – 45,Medical Doctor,Western,More than 10 years,Yes,"ChatGPT, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,4,4,1,4,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Administrative writing",Rarely,Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,10,20,4,4,4,4,4,3,3,4,4,4,Neutral,,,Radiology ,
118,Male,26 – 35,Health Information Management Officer,Central,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,3,4,1,5,Yes,Online Platforms or websites,Yes,No,Administrative writing,Never,Frequently,Never,Never,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,30,0,4,5,5,3,5,4,3,4,5,5,Neutral,,,Health Information analysis ,To guide in analysis of data reporting 
119,Male,26 – 35,Health Information Management Officer,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,3,4,1,5,Yes,Online Platforms or websites,Yes,No,Administrative writing,Never,Frequently,Never,Never,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,30,0,4,5,5,3,5,4,3,4,5,5,Neutral,,,Health Information analysis ,To guide in analysis of data reporting 
120,Female,26 – 35,Medical Laboratory Scientist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,5,4,1,5,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software",No,No,"Clinical documentation of patient information, Medical information research, Administrative writing",Never,Occasionally,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Rarely,Never,Frequently,Occasionally,60,480,3,4,5,5,3,3,4,3,5,3,Neutral,,,Veterinary ,
121,Female,26 – 35,Medical Laboratory Scientist,Oti,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,5,5,4,1,5,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software",No,No,"Clinical documentation of patient information, Medical information research, Administrative writing",Never,Occasionally,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Rarely,Never,Frequently,Occasionally,60,480,3,4,5,5,3,3,4,3,5,3,Neutral,,,Veterinary ,
122,Male,26 – 35,Dentist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,1,3,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Administrative writing",Never,Occasionally,Rarely,"Rarely, Occasionally",Frequently,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,60,60,4,4,4,5,4,3,4,4,4,4,Neutral,,,,
123,Male,26 – 35,Dentist,North East,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,1,3,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Administrative writing",Never,Occasionally,Rarely,"Rarely, Occasionally",Frequently,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,60,60,4,4,4,5,4,3,4,4,4,4,Neutral,,,,
124,Female,26 – 35,Nurse,Northern,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,5,5,4,1,3,No,"Online Platforms or websites, Mobile apps",No,Maybe,"Medical information research, Diagnosis",Rarely,Occasionally,Occasionally,Never,Occasionally,Rarely,Occasionally,Rarely,Rarely,Never,Rarely,Never,Rarely,60,5,3,5,4,5,5,3,5,3,3,4,Neutral,,,"Report writing, diagnosis and maybe prescription ",
125,Female,26 – 35,Nurse,Brong Ahafo,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,5,5,4,1,3,No,"Online Platforms or websites, Mobile apps",No,Maybe,"Medical information research, Diagnosis",Rarely,Occasionally,Occasionally,Never,Occasionally,Rarely,Occasionally,Rarely,Rarely,Never,Rarely,Never,Rarely,60,5,3,5,4,5,5,3,5,3,3,4,Neutral,,,"Report writing, diagnosis and maybe prescription ",
126,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,4,5,1,3,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Administrative writing, Language translation","Never, Rarely",Occasionally,"Never, Rarely","Never, Rarely","Never, Rarely","Never, Rarely","Never, Rarely",Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,2,5,2,3,3,3,4,3,3,4,3,4,Neutral,,,,
127,Male,26 – 35,Pharmacist,Ashanti,3 – 5 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,5,4,5,1,3,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Administrative writing, Language translation","Never, Rarely",Occasionally,"Never, Rarely","Never, Rarely","Never, Rarely","Never, Rarely","Never, Rarely",Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,2,5,2,3,3,3,4,3,3,4,3,4,Neutral,,,,
128,Male,26 – 35,Physician Assistant,Volta,3 – 5 years,No,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,3,4,4,1,1,No,I don’t use AI in my line of work ,No,No,Medical information research,Never,Occasionally,Never,Never,Rarely,Occasionally,Never,"Never, Frequently",Never,"Never, Frequently",Never,"Never, Always","Never, Always",0,60,2,2,1,3,4,1,2,2,2,1,No,,"From personal experiences, some information pulled out by LLM a few times I used it contradicted common clinical knowledge and practice …. And that raises the margin of error that could come with its use in diagnosing and treating patients.",,
129,Male,26 – 35,Physician Assistant,Ashanti,3 – 5 years,No,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,3,4,4,1,1,No,I don’t use AI in my line of work ,No,No,Medical information research,Never,Occasionally,Never,Never,Rarely,Occasionally,Never,"Never, Frequently",Never,"Never, Frequently",Never,"Never, Always","Never, Always",0,60,2,2,1,3,4,1,2,2,2,1,No,,"From personal experiences, some information pulled out by LLM a few times I used it contradicted common clinical knowledge and practice …. And that raises the margin of error that could come with its use in diagnosing and treating patients.",,
130,Female,56+,Pharmacist,Ashanti,More than 10 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,3,3,3,3,3,Yes,Mobile apps,No,No,Administrative writing,Never,Never,Never,Never,Never,Never,Never,Always,Frequently,Always,Always,Occasionally,Always,0,60,3,3,3,3,3,3,3,3,3,3,Neutral,,,Not sure,Can't tell
131,Female,56+,Pharmacist,Central,More than 10 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,3,3,3,3,3,Yes,Mobile apps,No,No,Administrative writing,Never,Never,Never,Never,Never,Never,Never,Always,Frequently,Always,Always,Occasionally,Always,0,60,3,3,3,3,3,3,3,3,3,3,Neutral,,,Not sure,Can't tell
132,Female,26 – 35,Pharmacist,Ashanti,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,3,3,4,1,2,Yes,Online Platforms or websites,No,No,Administrative writing,Never,Never,Never,Never,Occasionally,Never,Never,Frequently,Frequently,Frequently,Occasionally,Frequently,Frequently,120,60,1,5,2,2,5,1,1,3,3,1,No,,The CCLs hold reliable information while LLMs even caution you that not all information provided is accurate,The biggest impact for me has been administrative work and I think we could incorporate that to automate some processes.,
133,Female,26 – 35,Pharmacist,Central,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,3,3,4,1,2,Yes,Online Platforms or websites,No,No,Administrative writing,Never,Never,Never,Never,Occasionally,Never,Never,Frequently,Frequently,Frequently,Occasionally,Frequently,Frequently,120,60,1,5,2,2,5,1,1,3,3,1,No,,The CCLs hold reliable information while LLMs even caution you that not all information provided is accurate,The biggest impact for me has been administrative work and I think we could incorporate that to automate some processes.,
134,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,1,3,Yes,Mobile apps,No,Yes,Language translation,Never,Rarely,Never,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,5,40,3,4,2,1,4,1,1,2,2,1,No,,LLMs usually give inaccurate info. It’s because it’s not profession centered. ,Posology ,
135,Female,26 – 35,Pharmacist,Ashanti,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,1,3,Yes,Mobile apps,No,Yes,Language translation,Never,Rarely,Never,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,5,40,3,4,2,1,4,1,1,2,2,1,No,,LLMs usually give inaccurate info. It’s because it’s not profession centered. ,Posology ,
136,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,4,4,1,4,No,Online Platforms or websites,Yes,No,"Diagnosis, Therapy decision support, Language translation",Never,Frequently,Frequently,Never,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Occasionally,Frequently,30,60,4,2,5,4,4,3,4,3,3,4,Neutral,,It is biased against Africans with limited data relative to the conditions and resources on the continent so information provided must be adjusted to suit the ptient and settings,Treatmet plans,More information building from Africa and othe low income areas
137,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,4,4,4,1,4,No,Online Platforms or websites,Yes,No,"Diagnosis, Therapy decision support, Language translation",Never,Frequently,Frequently,Never,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Occasionally,Frequently,30,60,4,2,5,4,4,3,4,3,3,4,Neutral,,It is biased against Africans with limited data relative to the conditions and resources on the continent so information provided must be adjusted to suit the ptient and settings,Treatmet plans,More information building from Africa and othe low income areas
138,Male,26 – 35,Pharmacist,Upper West,6 – 10 years,No,,1  - I know very little to nothing about LLMs,3,3,3,2,2,No,Mobile apps,Yes,No,Medical information research,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,40,30,3,3,3,2,2,2,3,3,3,3,Neutral,,,,
139,Male,26 – 35,Pharmacist,Ashanti,6 – 10 years,No,,1  - I know very little to nothing about LLMs,3,3,3,2,2,No,Mobile apps,Yes,No,Medical information research,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,40,30,3,3,3,2,2,2,3,3,3,3,Neutral,,,,
140,Male,36 – 45,Pharmacist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,4,4,4,3,Yes,Mobile apps,No,Yes,"Medical information research, Administrative writing, Language translation",Never,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Always,Always,Rarely,Rarely,Always,40,60,4,5,4,5,4,3,4,3,4,4,Yes,Promptness and large database to scan online to bring out the best based on how it is probed,,Basically LLMs cover a whole range of healthcare disciplines.  The problem is awareness and techniques is prompting the robots for a clear definitive and concise outcome by health professionals.  ,"We need to know the limits so that as heaothcare professionals personal interaction and counselling should not be substituted by artificial intelligence.  Humans are created to interact and machines should enhance our work but not a substitute yo our profession. We should not get to a point where patients accessing LLMs will feel they do not need the health professionals anymore.  There are cars to make life easy, there are traffic lights and police to still guide driving.  "
141,Male,36 – 45,Pharmacist,Eastern,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,4,4,4,3,Yes,Mobile apps,No,Yes,"Medical information research, Administrative writing, Language translation",Never,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Always,Always,Rarely,Rarely,Always,40,60,4,5,4,5,4,3,4,3,4,4,Yes,Promptness and large database to scan online to bring out the best based on how it is probed,,Basically LLMs cover a whole range of healthcare disciplines.  The problem is awareness and techniques is prompting the robots for a clear definitive and concise outcome by health professionals.  ,"We need to know the limits so that as heaothcare professionals personal interaction and counselling should not be substituted by artificial intelligence.  Humans are created to interact and machines should enhance our work but not a substitute yo our profession. We should not get to a point where patients accessing LLMs will feel they do not need the health professionals anymore.  There are cars to make life easy, there are traffic lights and police to still guide driving.  "
142,Male,26 – 35,Pharmacist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,3,3,3,4,2,Yes,Online Platforms or websites,No,No,"Clinical documentation of patient information, Medical information research, Administrative writing",Frequently,Frequently,Occasionally,Never,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Frequently,Frequently,Frequently,60,120,3,3,4,2,4,3,2,1,2,3,Neutral,,,Research,Using updated versions
143,Male,26 – 35,Pharmacist,Volta,Less than 3 years,Yes,"ChatGPT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,3,3,3,4,2,Yes,Online Platforms or websites,No,No,"Clinical documentation of patient information, Medical information research, Administrative writing",Frequently,Frequently,Occasionally,Never,Occasionally,Never,Occasionally,Frequently,Frequently,Never,Frequently,Frequently,Frequently,60,120,3,3,4,2,4,3,2,1,2,3,Neutral,,,Research,Using updated versions
144,Female,26 – 35,Pharmacist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,2,4,Yes,"Online Platforms or websites, Mobile apps",No,Maybe,Medical information research,Occasionally,Frequently,Frequently,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,60,60,3,3,3,4,4,3,4,4,3,4,Neutral,,,Avoiding interaction between conditions medication interactions ,Accuracy 
145,Female,26 – 35,Pharmacist,Ashanti,6 – 10 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,4,4,2,4,Yes,"Online Platforms or websites, Mobile apps",No,Maybe,Medical information research,Occasionally,Frequently,Frequently,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,60,60,3,3,3,4,4,3,4,4,3,4,Neutral,,,Avoiding interaction between conditions medication interactions ,Accuracy 
146,Male,18 – 25,Dentist,North East,More than 10 years,Maybe,ChatGPT,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,2,2,2,2,2,No,LLM-integrated Electronic record software,No,Maybe,"Prescription and dosage writing, Administrative writing",Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,6,24,3,3,3,3,3,3,3,3,3,3,Neutral,,,,
147,Male,18 – 25,Dentist,Western,More than 10 years,Maybe,ChatGPT,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,2,2,2,2,2,No,LLM-integrated Electronic record software,No,Maybe,"Prescription and dosage writing, Administrative writing",Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,6,24,3,3,3,3,3,3,3,3,3,3,Neutral,,,,
