,Gender,Age,Profession,Region,Work_Experience(yrs),Pre-study Awareness,Models_Used,Participant Understanding Rating,Participant Understanding Rating_encoded,Access,Mode_of_Access,Use_Consideration,Use,Tasks,LLM_Duration(mins),CCL_Duration(mins),Preference,LLM_Adv,CCL_Adv,Impact_Areas,Recommendations,Track_Important_Details,Find_Quick_Answers,Brainstorm_&_Diagnose,Generate_Prescriptions,Summarise_Research_Articles,Create_Educational_Materials,Treatment_Recommendations,CCL_Find_Quick_Answers,CCL_Brainstorm_&_Diagnose,CCL_Generate_Prescriptions,CCL_Summarise_Research_Articles,CCL_Create_Educational_Materials,CCL_Treatment_Recommendations,Understanding_Rate,Understanding_Rate_encoded,Value,Efficiency,Safety,Reliabilty
87,Female,26 – 35,Midwife,Eastern,Less than 3 years,Yes,ChatGPT,1  - I know very little to nothing about LLMs,Low,Yes,Online Platforms or websites,Yes,Yes,"Clinical documentation of patient information, Medical information research, Diagnosis, Prescription and dosage writing, Administrative writing",30,30,Yes,Easy Accessibility,,Nursing ,,Occasionally,Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Never,Never,Never,Rarely,Rarely,Never,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Agree,Agree
88,Female,36 – 45,Medical Doctor,Greater Accra,6 – 10 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,Language translation,10,0,No,,Trusted and credible,,Constant professional review ,Rarely,Frequently,Occasionally,Never,Frequently,Occasionally,Rarely,Always,Always,Always,Always,Always,Always,Low,1  - I know very little to nothing about LLMs,Neutral,Neutral,Disagree,Disagree
89,Male,36 – 45,Medical Doctor,Greater Accra,6 – 10 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,Language translation,10,0,No,,Trusted and credible,,Constant professional review ,Rarely,Frequently,Occasionally,Never,Frequently,Occasionally,Rarely,Always,Always,Always,Always,Always,Always,Low,1  - I know very little to nothing about LLMs,Neutral,Neutral,Disagree,Disagree
90,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,Yes,ChatGPT,3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,Diagnosis,100,240,Yes,Timeliness,,,Improve Training,Occasionally,Occasionally,Occasionally,Never,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Low,1  - I know very little to nothing about LLMs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
91,Female,18 – 25,Medical Doctor,Central,Less than 3 years,Yes,ChatGPT,3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,Diagnosis,100,240,Yes,Timeliness,,,Improve Training,Occasionally,Occasionally,Occasionally,Never,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Low,1  - I know very little to nothing about LLMs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
92,Male,18 – 25,Pharmacist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Diagnosis",10,120,No,,,,,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Frequently,Frequently,"Never, Frequently","Never, Frequently","Frequently, Always","Never, Frequently","Never, Frequently","Never, Frequently",Low,1  - I know very little to nothing about LLMs,Agree,Neutral,Disagree,Neutral
93,Male,18 – 25,Pharmacist,Western North,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Diagnosis",10,120,No,,,,,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,Frequently,Frequently,"Never, Frequently","Never, Frequently","Frequently, Always","Never, Frequently","Never, Frequently","Never, Frequently",Low,1  - I know very little to nothing about LLMs,Agree,Neutral,Disagree,Neutral
94,Female,18 – 25,Pharmacist,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Yes,"Administrative writing, Therapy decision support, Language translation",40,120,Neutral,,Trusted and credible,,A healthcare based llms,Occasionally,Occasionally,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,Never,Never,Never,Rarely,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Agree
95,Female,18 – 25,Pharmacist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Yes,"Administrative writing, Therapy decision support, Language translation",40,120,Neutral,,Trusted and credible,,A healthcare based llms,Occasionally,Occasionally,Rarely,Never,Rarely,Occasionally,Occasionally,Rarely,Rarely,Never,Never,Never,Rarely,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Agree
96,Female,26 – 35,Nurse,Greater Accra,3 – 5 years,Yes,"ChatGPT, Google’s BERT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation",30,20,Yes,,,Documentation,Integration into Healthcare management systems,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
97,Male,26 – 35,Nurse,Greater Accra,3 – 5 years,Yes,"ChatGPT, Google’s BERT, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Clinical documentation of patient information, Medical information research, Prescription and dosage writing, Language translation",30,20,Yes,,,Documentation,Integration into Healthcare management systems,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
98,Female,36 – 45,Pharmacist,Greater Accra,More than 10 years,Yes,"ChatGPT, Google’s BERT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,No,None ,0,30,No,,,,,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Frequently,Occasionally,Frequently,Frequently,Low,1  - I know very little to nothing about LLMs,Neutral,Disagree,Strongly Disagree,Disagree
99,Female,36 – 45,Pharmacist,Ashanti,More than 10 years,Yes,"ChatGPT, Google’s BERT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,No,None ,0,30,No,,,,,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Frequently,Occasionally,Frequently,Frequently,Low,1  - I know very little to nothing about LLMs,Neutral,Disagree,Strongly Disagree,Disagree
100,Female,26 – 35,Physician Assistant,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,Moderate,No,Mobile apps,No,No,Administrative writing,0,5,No,,,Administrative work,,Never,Never,Never,Never,Rarely,Never,Never,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Low,1  - I know very little to nothing about LLMs,Agree,Strongly Disagree,Disagree,Disagree
101,Male,26 – 35,Physician Assistant,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,Moderate,No,Mobile apps,No,No,Administrative writing,0,5,No,,,Administrative work,,Never,Never,Never,Never,Rarely,Never,Never,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Low,1  - I know very little to nothing about LLMs,Agree,Strongly Disagree,Disagree,Disagree
102,Male,46 – 55,Pharmacist,Upper East,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Claude AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Very High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",180,0,Yes,Easy Accessibility,,Diagnosis and treatment ,,Never,Frequently,Occasionally,Rarely,Occasionally,Always,Never,Never,Never,Never,Never,Never,Never,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Disagree,Agree
103,Male,46 – 55,Pharmacist,Brong Ahafo,More than 10 years,Yes,"ChatGPT, Microsoft Copilot, Claude AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Very High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Diagnosis, Administrative writing, Therapy decision support, Language translation",180,0,Yes,Easy Accessibility,,Diagnosis and treatment ,,Never,Frequently,Occasionally,Rarely,Occasionally,Always,Never,Never,Never,Never,Never,Never,Never,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Disagree,Agree
104,Male,46 – 55,Pharmacist,Greater Accra,6 – 10 years,Maybe,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,In other fields to generate text to enhance understanding but not in human life saving situations ,60,180,No,,Trusted and credible,,Information Referencing,Never,Never,Never,Never,Never,Occasionally,Never,Always,Always,Always,Always,Always,Always,Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Neutral,Disagree,Disagree
105,Female,46 – 55,Pharmacist,Greater Accra,6 – 10 years,Maybe,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI, Perplexity etc",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,No,In other fields to generate text to enhance understanding but not in human life saving situations ,60,180,No,,Trusted and credible,,Information Referencing,Never,Never,Never,Never,Never,Occasionally,Never,Always,Always,Always,Always,Always,Always,Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Neutral,Disagree,Disagree
106,Male,56+,Pharmacist,Ashanti,More than 10 years,Maybe,ChatGPT,1  - I know very little to nothing about LLMs,Low,No,Mobile apps,No,No,Administrative writing,30,30,Neutral,,,Pharmacy and Drug Information,"Computers should be cheaper.
Healthcare students and staff should undergo studies. ",Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Never,Rarely,Always,Always,Frequently,Frequently,Frequently,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Disagree,Neutral,Disagree,Neutral
107,Male,56+,Pharmacist,Central,More than 10 years,Maybe,ChatGPT,1  - I know very little to nothing about LLMs,Low,No,Mobile apps,No,No,Administrative writing,30,30,Neutral,,,Pharmacy and Drug Information,"Computers should be cheaper.
Healthcare students and staff should undergo studies. ",Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Never,Rarely,Always,Always,Frequently,Frequently,Frequently,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Disagree,Neutral,Disagree,Neutral
108,Female,18 – 25,Pharmacist,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,60,180,No,,Accurate and evidence-based,,Reduce the work time ,Never,Rarely,Never,Never,Never,Rarely,Rarely,"Never, Frequently","Rarely, Frequently","Never, Frequently","Never, Always","Rarely, Frequently","Never, Frequently",Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Disagree,Disagree,Disagree
109,Female,18 – 25,Pharmacist,Central,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,60,180,No,,Accurate and evidence-based,,Reduce the work time ,Never,Rarely,Never,Never,Never,Rarely,Rarely,"Never, Frequently","Rarely, Frequently","Never, Frequently","Never, Always","Rarely, Frequently","Never, Frequently",Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Disagree,Disagree,Disagree
110,Female,26 – 35,Pharmacist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,My phone,No,No,Not used ,20,60,Yes,Information processing and generative capability,,Medication Therapy management ,Accessibilty,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,Occasionally,Frequently,Frequently,Occasionally,Frequently,Very High,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Agree,Agree,Agree,Agree
111,Male,26 – 35,Pharmacist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,My phone,No,No,Not used ,20,60,Yes,Information processing and generative capability,,Medication Therapy management ,Accessibilty,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Frequently,Occasionally,Frequently,Frequently,Occasionally,Frequently,Very High,4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Agree,Agree,Agree,Agree
112,Female,18 – 25,Psychologist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Diagnosis, Administrative writing, Language translation",180,360,Neutral,,,,,Frequently,Always,Frequently,Occasionally,Always,Occasionally,Occasionally,Frequently,Frequently,Frequently,Always,Frequently,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Agree,Agree
113,Female,18 – 25,Psychologist,Brong Ahafo,Less than 3 years,Yes,"ChatGPT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Diagnosis, Administrative writing, Language translation",180,360,Neutral,,,,,Frequently,Always,Frequently,Occasionally,Always,Occasionally,Occasionally,Frequently,Frequently,Frequently,Always,Frequently,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Agree,Agree
114,Female,26 – 35,Nurse,Greater Accra,Less than 3 years,No,,1  - I know very little to nothing about LLMs,Low,Yes,Online Platforms or websites,Yes,Yes,"Clinical documentation of patient information, Prescription and dosage writing, Administrative writing",60,0,Neutral,,,primary care,Improve Training,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Disagree,Agree,Neutral
115,Female,26 – 35,Nurse,Central,Less than 3 years,No,,1  - I know very little to nothing about LLMs,Low,Yes,Online Platforms or websites,Yes,Yes,"Clinical documentation of patient information, Prescription and dosage writing, Administrative writing",60,0,Neutral,,,primary care,Improve Training,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Disagree,Agree,Neutral
116,Male,36 – 45,Medical Doctor,Upper West,More than 10 years,Yes,"ChatGPT, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Administrative writing",10,20,Neutral,,,Diagnostics,,Rarely,Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Agree,Agree
117,Male,36 – 45,Medical Doctor,Western,More than 10 years,Yes,"ChatGPT, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,"Medical information research, Administrative writing",10,20,Neutral,,,Diagnostics,,Rarely,Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Agree,Agree
118,Male,26 – 35,Health Information Management Officer,Central,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Online Platforms or websites,Yes,No,Administrative writing,30,0,Neutral,,,Health Information analysis ,To guide in analysis of data reporting ,Never,Frequently,Never,Never,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Agree,Agree,Agree
119,Male,26 – 35,Health Information Management Officer,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Claude AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Online Platforms or websites,Yes,No,Administrative writing,30,0,Neutral,,,Health Information analysis ,To guide in analysis of data reporting ,Never,Frequently,Never,Never,Frequently,Frequently,Never,Never,Never,Never,Never,Never,Never,Moderate,2 -  I know a bit about LLMs but not a lot,Strongly Agree,Agree,Agree,Agree
120,Female,26 – 35,Medical Laboratory Scientist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software",No,No,"Clinical documentation of patient information, Medical information research, Administrative writing",60,480,Neutral,,,Veterinary ,,Never,Occasionally,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Rarely,Never,Frequently,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Neutral,Agree,Neutral,Agree
121,Female,26 – 35,Medical Laboratory Scientist,Oti,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps, LLM-integrated Electronic record software",No,No,"Clinical documentation of patient information, Medical information research, Administrative writing",60,480,Neutral,,,Veterinary ,,Never,Occasionally,Occasionally,Never,Never,Frequently,Frequently,Frequently,Frequently,Rarely,Never,Frequently,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Neutral,Agree,Neutral,Agree
122,Male,26 – 35,Dentist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Administrative writing",60,60,Neutral,,,,,Never,Occasionally,Rarely,Rarely,Frequently,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Agree,Agree
123,Male,26 – 35,Dentist,North East,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",Yes,Maybe,"Medical information research, Administrative writing",60,60,Neutral,,,,,Never,Occasionally,Rarely,Rarely,Frequently,Occasionally,Rarely,Frequently,Occasionally,Occasionally,Frequently,Frequently,Frequently,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Agree,Agree
124,Female,26 – 35,Nurse,Northern,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",No,Maybe,"Medical information research, Diagnosis",60,5,Neutral,,,prescriptions and treatment,,Rarely,Occasionally,Occasionally,Never,Occasionally,Rarely,Occasionally,Rarely,Rarely,Never,Rarely,Never,Rarely,Low,1  - I know very little to nothing about LLMs,Strongly Agree,Agree,Neutral,Agree
125,Female,26 – 35,Nurse,Brong Ahafo,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",No,Maybe,"Medical information research, Diagnosis",60,5,Neutral,,,prescriptions and treatment,,Rarely,Occasionally,Occasionally,Never,Occasionally,Rarely,Occasionally,Rarely,Rarely,Never,Rarely,Never,Rarely,Low,1  - I know very little to nothing about LLMs,Strongly Agree,Agree,Neutral,Agree
126,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Administrative writing, Language translation",2,5,Neutral,,,,,Never,Occasionally,Never,Never,Never,Never,Never,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Neutral,Agree,Neutral
127,Male,26 – 35,Pharmacist,Ashanti,3 – 5 years,No,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,"Online Platforms or websites, Mobile apps",Yes,No,"Medical information research, Administrative writing, Language translation",2,5,Neutral,,,,,Never,Occasionally,Never,Never,Never,Never,Never,Frequently,Frequently,Occasionally,Occasionally,Occasionally,Occasionally,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Neutral,Agree,Neutral
128,Male,26 – 35,Physician Assistant,Volta,3 – 5 years,No,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,I don’t use AI in my line of work ,No,No,Medical information research,0,60,No,,Trusted and credible,,,Never,Occasionally,Never,Never,Rarely,Occasionally,Never,"Never, Frequently",Never,"Never, Frequently",Never,"Never, Always","Never, Always",Low,1  - I know very little to nothing about LLMs,Agree,Disagree,Disagree,Disagree
129,Male,26 – 35,Physician Assistant,Ashanti,3 – 5 years,No,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,I don’t use AI in my line of work ,No,No,Medical information research,0,60,No,,Trusted and credible,,,Never,Occasionally,Never,Never,Rarely,Occasionally,Never,"Never, Frequently",Never,"Never, Frequently",Never,"Never, Always","Never, Always",Low,1  - I know very little to nothing about LLMs,Agree,Disagree,Disagree,Disagree
130,Female,56+,Pharmacist,Ashanti,More than 10 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,Low,Yes,Mobile apps,No,No,Administrative writing,0,60,Neutral,,,,,Never,Never,Never,Never,Never,Never,Never,Always,Frequently,Always,Always,Occasionally,Always,Low,1  - I know very little to nothing about LLMs,Neutral,Neutral,Neutral,Neutral
131,Female,56+,Pharmacist,Central,More than 10 years,Yes,"ChatGPT, Meta AI",1  - I know very little to nothing about LLMs,Low,Yes,Mobile apps,No,No,Administrative writing,0,60,Neutral,,,,,Never,Never,Never,Never,Never,Never,Never,Always,Frequently,Always,Always,Occasionally,Always,Low,1  - I know very little to nothing about LLMs,Neutral,Neutral,Neutral,Neutral
132,Female,26 – 35,Pharmacist,Ashanti,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,No,Administrative writing,120,60,No,,Trusted and credible,Administrative work,,Never,Never,Never,Never,Occasionally,Never,Never,Frequently,Frequently,Frequently,Occasionally,Frequently,Frequently,Low,1  - I know very little to nothing about LLMs,Strongly Agree,Disagree,Disagree,Disagree
133,Female,26 – 35,Pharmacist,Central,3 – 5 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,No,Administrative writing,120,60,No,,Trusted and credible,Administrative work,,Never,Never,Never,Never,Occasionally,Never,Never,Frequently,Frequently,Frequently,Occasionally,Frequently,Frequently,Low,1  - I know very little to nothing about LLMs,Strongly Agree,Disagree,Disagree,Disagree
134,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Mobile apps,No,Yes,Language translation,5,40,No,,Accurate and evidence-based,Pharmacy and Drug Information,,Never,Rarely,Never,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Low,1  - I know very little to nothing about LLMs,Agree,Disagree,Disagree,Strongly Disagree
135,Female,26 – 35,Pharmacist,Ashanti,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Mobile apps,No,Yes,Language translation,5,40,No,,Accurate and evidence-based,Pharmacy and Drug Information,,Never,Rarely,Never,Never,Never,Occasionally,Never,Never,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Low,1  - I know very little to nothing about LLMs,Agree,Disagree,Disagree,Strongly Disagree
136,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,No,Online Platforms or websites,Yes,No,"Diagnosis, Therapy decision support, Language translation",30,60,Neutral,,Data Quality,Treatment,More information building from Africa and othe low income areas,Never,Frequently,Frequently,Never,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Occasionally,Frequently,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Neutral,Agree
137,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,No,Online Platforms or websites,Yes,No,"Diagnosis, Therapy decision support, Language translation",30,60,Neutral,,Data Quality,Treatment,More information building from Africa and othe low income areas,Never,Frequently,Frequently,Never,Always,Always,Always,Frequently,Frequently,Frequently,Frequently,Occasionally,Frequently,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Neutral,Agree
138,Male,26 – 35,Pharmacist,Upper West,6 – 10 years,No,,1  - I know very little to nothing about LLMs,Low,No,Mobile apps,Yes,No,Medical information research,40,30,Neutral,,,,,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Low,1  - I know very little to nothing about LLMs,Disagree,Neutral,Disagree,Neutral
139,Male,26 – 35,Pharmacist,Ashanti,6 – 10 years,No,,1  - I know very little to nothing about LLMs,Low,No,Mobile apps,Yes,No,Medical information research,40,30,Neutral,,,,,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Low,1  - I know very little to nothing about LLMs,Disagree,Neutral,Disagree,Neutral
140,Male,36 – 45,Pharmacist,Greater Accra,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Mobile apps,No,Yes,"Medical information research, Administrative writing, Language translation",40,60,Yes,Information processing and generative capability,,All Health disciplines,Advocate more,Never,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Always,Always,Rarely,Rarely,Always,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Neutral,Agree
141,Male,36 – 45,Pharmacist,Eastern,6 – 10 years,Yes,"ChatGPT, Microsoft Copilot, Gemini AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Mobile apps,No,Yes,"Medical information research, Administrative writing, Language translation",40,60,Yes,Information processing and generative capability,,All Health disciplines,Advocate more,Never,Occasionally,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Always,Always,Rarely,Rarely,Always,Low,1  - I know very little to nothing about LLMs,Agree,Agree,Neutral,Agree
